
Predictions were generated on 24-Oct-2019 at 16:50:56 using OpenFAST, compiled as a 64-bit application using single precision at commit v2.1.0-184-g4231be2e-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; SubDyn

Description from the FAST input file: MonopileOnly

Time      	TwrBsFxt  	TwrBsFyt  	TwrBsFzt  	TwrBsMxt  	TwrBsMyt  	TwrBsMzt  	PtfmSurge 	PtfmSway  	PtfmHeave 	PtfmRoll  	PtfmPitch 	PtfmYaw   	M1N1FKXe  	M1N1FKYe  	M1N1FKZe  	M1N1MKXe  	M1N1MKYe  	M1N1MKZe  	M2N1FKXe  	M2N1FKYe  	M2N1FKZe  	M2N1MKXe  	M2N1MKYe  	M2N1MKZe  	-ReactFXss	-ReactFYss	-ReactFZss	-ReactMXss	-ReactMYss	-ReactMZss
(s)       	(kN)      	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	(m)       	(m)       	(m)       	(deg)     	(deg)     	(deg)     	(N)       	(N)       	(N)       	(N*m)     	(N*m)     	(N*m)     	(N)       	(N)       	(N)       	(N*m)     	(N*m)     	(N*m)     	(N)       	(N)       	(N)       	(Nm)      	(Nm)      	(Nm)      
    0.1000	 1.446E-07	-0.000E+00	-2.343E-07	 0.000E+00	 4.859E-08	 0.000E+00	 8.497E-01	 0.000E+00	-3.302E-03	 0.000E+00	 6.518E-01	 0.000E+00	 1.017E+07	-0.000E+00	-8.006E+06	-0.000E+00	 6.112E+08	-0.000E+00	 5.930E+06	-0.000E+00	-8.006E+06	-0.000E+00	 1.611E+08	-0.000E+00	 1.017E+07	-0.000E+00	-8.006E+06	-0.000E+00	-4.055E+08	-0.000E+00
    0.1100	 1.377E-07	-0.000E+00	-1.962E-07	 0.000E+00	 5.001E-08	 0.000E+00	 8.234E-01	 0.000E+00	-2.860E-03	 0.000E+00	 6.327E-01	 0.000E+00	 9.814E+06	-0.000E+00	-6.961E+06	-0.000E+00	 5.912E+08	-0.000E+00	 5.721E+06	-0.000E+00	-6.961E+06	-0.000E+00	 1.567E+08	-0.000E+00	 9.814E+06	-0.000E+00	-6.961E+06	-0.000E+00	-3.902E+08	-0.000E+00
    0.1200	 1.499E-07	-0.000E+00	-8.267E-08	 0.000E+00	 7.372E-08	 0.000E+00	 7.958E-01	 0.000E+00	-1.554E-03	 0.000E+00	 6.144E-01	 0.000E+00	 9.281E+06	-0.000E+00	-3.877E+06	-0.000E+00	 5.663E+08	-0.000E+00	 5.491E+06	-0.000E+00	-3.877E+06	-0.000E+00	 1.543E+08	-0.000E+00	 9.281E+06	-0.000E+00	-3.877E+06	-0.000E+00	-3.618E+08	-0.000E+00
    0.1300	 1.719E-07	-0.000E+00	 1.474E-08	 0.000E+00	 1.008E-07	 0.000E+00	 7.667E-01	 0.000E+00	-4.365E-04	 0.000E+00	 5.964E-01	 0.000E+00	 8.601E+06	-0.000E+00	-1.238E+06	-0.000E+00	 5.372E+08	-0.000E+00	 5.220E+06	-0.000E+00	-1.238E+06	-0.000E+00	 1.535E+08	-0.000E+00	 8.601E+06	-0.000E+00	-1.238E+06	-0.000E+00	-3.229E+08	-0.000E+00
    0.1400	 1.939E-07	-0.000E+00	 1.968E-08	 0.000E+00	 1.145E-07	 0.000E+00	 7.360E-01	 0.000E+00	-3.835E-04	 0.000E+00	 5.777E-01	 0.000E+00	 7.812E+06	-0.000E+00	-1.113E+06	-0.000E+00	 5.049E+08	-0.000E+00	 4.948E+06	-0.000E+00	-1.113E+06	-0.000E+00	 1.536E+08	-0.000E+00	 7.812E+06	-0.000E+00	-1.113E+06	-0.000E+00	-2.763E+08	-0.000E+00
    0.1500	 2.162E-07	-0.000E+00	-6.910E-08	 0.000E+00	 1.146E-07	 0.000E+00	 7.034E-01	 0.000E+00	-1.411E-03	 0.000E+00	 5.576E-01	 0.000E+00	 6.966E+06	-0.000E+00	-3.538E+06	-0.000E+00	 4.705E+08	-0.000E+00	 4.665E+06	-0.000E+00	-3.538E+06	-0.000E+00	 1.538E+08	-0.000E+00	 6.966E+06	-0.000E+00	-3.538E+06	-0.000E+00	-2.262E+08	-0.000E+00
    0.1600	 2.370E-07	-0.000E+00	-1.790E-07	 0.000E+00	 1.108E-07	 0.000E+00	 6.687E-01	 0.000E+00	-2.681E-03	 0.000E+00	 5.354E-01	 0.000E+00	 6.119E+06	-0.000E+00	-6.538E+06	-0.000E+00	 4.352E+08	-0.000E+00	 4.362E+06	-0.000E+00	-6.538E+06	-0.000E+00	 1.533E+08	-0.000E+00	 6.119E+06	-0.000E+00	-6.538E+06	-0.000E+00	-1.768E+08	-0.000E+00
    0.1700	 2.505E-07	-0.000E+00	-2.227E-07	 0.000E+00	 1.124E-07	 0.000E+00	 6.318E-01	 0.000E+00	-3.186E-03	 0.000E+00	 5.105E-01	 0.000E+00	 5.318E+06	-0.000E+00	-7.731E+06	-0.000E+00	 4.001E+08	-0.000E+00	 4.066E+06	-0.000E+00	-7.731E+06	-0.000E+00	 1.513E+08	-0.000E+00	 5.318E+06	-0.000E+00	-7.731E+06	-0.000E+00	-1.318E+08	-0.000E+00
    0.1800	 2.530E-07	-0.000E+00	-1.673E-07	 0.000E+00	 1.220E-07	 0.000E+00	 5.926E-01	 0.000E+00	-2.547E-03	 0.000E+00	 4.823E-01	 0.000E+00	 4.606E+06	-0.000E+00	-6.222E+06	-0.000E+00	 3.661E+08	-0.000E+00	 3.778E+06	-0.000E+00	-6.222E+06	-0.000E+00	 1.472E+08	-0.000E+00	 4.606E+06	-0.000E+00	-6.222E+06	-0.000E+00	-9.446E+07	-0.000E+00
    0.1900	 2.447E-07	-0.000E+00	-5.900E-08	 0.000E+00	 1.330E-07	 0.000E+00	 5.509E-01	 0.000E+00	-1.296E-03	 0.000E+00	 4.506E-01	 0.000E+00	 4.013E+06	-0.000E+00	-3.268E+06	-0.000E+00	 3.341E+08	-0.000E+00	 3.489E+06	-0.000E+00	-3.268E+06	-0.000E+00	 1.405E+08	-0.000E+00	 4.013E+06	-0.000E+00	-3.268E+06	-0.000E+00	-6.728E+07	-0.000E+00
    0.2000	 2.271E-07	-0.000E+00	 1.534E-08	 0.000E+00	 1.336E-07	 0.000E+00	 5.069E-01	 0.000E+00	-4.355E-04	 0.000E+00	 4.153E-01	 0.000E+00	 3.560E+06	-0.000E+00	-1.235E+06	-0.000E+00	 3.043E+08	-0.000E+00	 3.211E+06	-0.000E+00	-1.235E+06	-0.000E+00	 1.311E+08	-0.000E+00	 3.560E+06	-0.000E+00	-1.235E+06	-0.000E+00	-5.161E+07	-0.000E+00
    0.2100	 2.019E-07	-0.000E+00	-2.276E-09	 0.000E+00	 1.164E-07	 0.000E+00	 4.608E-01	 0.000E+00	-6.337E-04	 0.000E+00	 3.767E-01	 0.000E+00	 3.243E+06	-0.000E+00	-1.703E+06	-0.000E+00	 2.770E+08	-0.000E+00	 2.933E+06	-0.000E+00	-1.703E+06	-0.000E+00	 1.190E+08	-0.000E+00	 3.243E+06	-0.000E+00	-1.703E+06	-0.000E+00	-4.730E+07	-0.000E+00
    0.2200	 1.702E-07	-0.000E+00	-9.598E-08	 0.000E+00	 8.438E-08	 0.000E+00	 4.127E-01	 0.000E+00	-1.708E-03	 0.000E+00	 3.354E-01	 0.000E+00	 3.043E+06	-0.000E+00	-4.241E+06	-0.000E+00	 2.515E+08	-0.000E+00	 2.654E+06	-0.000E+00	-4.241E+06	-0.000E+00	 1.046E+08	-0.000E+00	 3.043E+06	-0.000E+00	-4.241E+06	-0.000E+00	-5.274E+07	-0.000E+00
    0.2300	 1.334E-07	-0.000E+00	-1.903E-07	 0.000E+00	 4.928E-08	 0.000E+00	 3.630E-01	 0.000E+00	-2.790E-03	 0.000E+00	 2.919E-01	 0.000E+00	 2.926E+06	-0.000E+00	-6.796E+06	-0.000E+00	 2.274E+08	-0.000E+00	 2.381E+06	-0.000E+00	-6.796E+06	-0.000E+00	 8.854E+07	-0.000E+00	 2.926E+06	-0.000E+00	-6.796E+06	-0.000E+00	-6.523E+07	-0.000E+00
    0.2400	 9.276E-08	-0.000E+00	-2.112E-07	 0.000E+00	 2.270E-08	 0.000E+00	 3.121E-01	 0.000E+00	-3.026E-03	 0.000E+00	 2.471E-01	 0.000E+00	 2.851E+06	-0.000E+00	-7.352E+06	-0.000E+00	 2.036E+08	-0.000E+00	 2.097E+06	-0.000E+00	-7.352E+06	-0.000E+00	 7.140E+07	-0.000E+00	 2.851E+06	-0.000E+00	-7.352E+06	-0.000E+00	-8.149E+07	-0.000E+00
    0.2500	 5.105E-08	-0.000E+00	-1.444E-07	 0.000E+00	 8.224E-09	 0.000E+00	 2.602E-01	 0.000E+00	-2.250E-03	 0.000E+00	 2.017E-01	 0.000E+00	 2.777E+06	-0.000E+00	-5.521E+06	-0.000E+00	 1.795E+08	-0.000E+00	 1.804E+06	-0.000E+00	-5.521E+06	-0.000E+00	 5.394E+07	-0.000E+00	 2.777E+06	-0.000E+00	-5.521E+06	-0.000E+00	-9.830E+07	-0.000E+00
    0.2600	 1.204E-08	-0.000E+00	-4.502E-08	 0.000E+00	 3.197E-11	 0.000E+00	 2.079E-01	 0.000E+00	-1.101E-03	 0.000E+00	 1.563E-01	 0.000E+00	 2.669E+06	-0.000E+00	-2.806E+06	-0.000E+00	 1.542E+08	-0.000E+00	 1.500E+06	-0.000E+00	-2.806E+06	-0.000E+00	 3.679E+07	-0.000E+00	 2.669E+06	-0.000E+00	-2.806E+06	-0.000E+00	-1.127E+08	-0.000E+00
    0.2700	-2.037E-08	-0.000E+00	 7.515E-09	 0.000E+00	-1.114E-08	 0.000E+00	 1.555E-01	 0.000E+00	-4.925E-04	 0.000E+00	 1.118E-01	 0.000E+00	 2.494E+06	-0.000E+00	-1.370E+06	-0.000E+00	 1.273E+08	-0.000E+00	 1.184E+06	-0.000E+00	-1.370E+06	-0.000E+00	 2.056E+07	-0.000E+00	 2.494E+06	-0.000E+00	-1.370E+06	-0.000E+00	-1.221E+08	-0.000E+00
    0.2800	-4.381E-08	-0.000E+00	-2.724E-08	 0.000E+00	-2.977E-08	 0.000E+00	 1.032E-01	 0.000E+00	-8.922E-04	 0.000E+00	 6.865E-02	 0.000E+00	 2.221E+06	-0.000E+00	-2.314E+06	-0.000E+00	 9.799E+07	-0.000E+00	 8.502E+05	-0.000E+00	-2.314E+06	-0.000E+00	 5.762E+06	-0.000E+00	 2.221E+06	-0.000E+00	-2.314E+06	-0.000E+00	-1.241E+08	-0.000E+00
    0.2900	-5.828E-08	-0.000E+00	-1.198E-07	 0.000E+00	-5.154E-08	 0.000E+00	 5.134E-02	 0.000E+00	-1.959E-03	 0.000E+00	 2.728E-02	 0.000E+00	 1.828E+06	-0.000E+00	-4.834E+06	-0.000E+00	 6.596E+07	-0.000E+00	 5.002E+05	-0.000E+00	-4.834E+06	-0.000E+00	-7.190E+06	-0.000E+00	 1.828E+06	-0.000E+00	-4.834E+06	-0.000E+00	-1.168E+08	-0.000E+00
    0.3000	-6.553E-08	-0.000E+00	-1.958E-07	 0.000E+00	-6.666E-08	 0.000E+00	 7.376E-06	 0.000E+00	-2.836E-03	 0.000E+00	-1.221E-02	 0.000E+00	 1.301E+06	-0.000E+00	-6.905E+06	-0.000E+00	 3.095E+07	-0.000E+00	 1.367E+05	-0.000E+00	-6.905E+06	-0.000E+00	-1.809E+07	-0.000E+00	 1.301E+06	-0.000E+00	-6.905E+06	-0.000E+00	-9.912E+07	-0.000E+00
    0.3100	-6.762E-08	-0.000E+00	-1.956E-07	 0.000E+00	-6.770E-08	 0.000E+00	-5.071E-02	 0.000E+00	-2.836E-03	 0.000E+00	-4.997E-02	 0.000E+00	 6.472E+05	-0.000E+00	-6.903E+06	-0.000E+00	-6.803E+06	-0.000E+00	-2.374E+05	-0.000E+00	-6.903E+06	-0.000E+00	-2.701E+07	-0.000E+00	 6.472E+05	-0.000E+00	-6.903E+06	-0.000E+00	-7.152E+07	-0.000E+00
    0.3200	-6.578E-08	-0.000E+00	-1.213E-07	 0.000E+00	-5.568E-08	 0.000E+00	-1.008E-01	 0.000E+00	-1.980E-03	 0.000E+00	-8.633E-02	 0.000E+00	-1.068E+05	-0.000E+00	-4.882E+06	-0.000E+00	-4.665E+07	-0.000E+00	-6.159E+05	-0.000E+00	-4.882E+06	-0.000E+00	-3.431E+07	-0.000E+00	-1.068E+05	-0.000E+00	-4.882E+06	-0.000E+00	-3.596E+07	-0.000E+00
    0.3300	-6.052E-08	-0.000E+00	-3.313E-08	 0.000E+00	-3.971E-08	 0.000E+00	-1.503E-01	 0.000E+00	-9.649E-04	 0.000E+00	-1.217E-01	 0.000E+00	-9.227E+05	-0.000E+00	-2.486E+06	-0.000E+00	-8.766E+07	-0.000E+00	-9.948E+05	-0.000E+00	-2.486E+06	-0.000E+00	-4.053E+07	-0.000E+00	-9.227E+05	-0.000E+00	-2.486E+06	-0.000E+00	 4.603E+06	-0.000E+00
    0.3400	-5.270E-08	-0.000E+00	-9.058E-10	 0.000E+00	-3.040E-08	 0.000E+00	-1.991E-01	 0.000E+00	-5.951E-04	 0.000E+00	-1.565E-01	 0.000E+00	-1.759E+06	-0.000E+00	-1.612E+06	-0.000E+00	-1.289E+08	-0.000E+00	-1.369E+06	-0.000E+00	-1.612E+06	-0.000E+00	-4.628E+07	-0.000E+00	-1.759E+06	-0.000E+00	-1.612E+06	-0.000E+00	 4.704E+07	-0.000E+00
    0.3500	-4.448E-08	-0.000E+00	-4.856E-08	 0.000E+00	-3.246E-08	 0.000E+00	-2.475E-01	 0.000E+00	-1.146E-03	 0.000E+00	-1.910E-01	 0.000E+00	-2.582E+06	-0.000E+00	-2.914E+06	-0.000E+00	-1.696E+08	-0.000E+00	-1.738E+06	-0.000E+00	-2.914E+06	-0.000E+00	-5.203E+07	-0.000E+00	-2.582E+06	-0.000E+00	-2.914E+06	-0.000E+00	 8.867E+07	-0.000E+00
    0.3600	-3.918E-08	-0.000E+00	-1.365E-07	 0.000E+00	-4.205E-08	 0.000E+00	-2.955E-01	 0.000E+00	-2.161E-03	 0.000E+00	-2.258E-01	 0.000E+00	-3.364E+06	-0.000E+00	-5.310E+06	-0.000E+00	-2.090E+08	-0.000E+00	-2.098E+06	-0.000E+00	-5.310E+06	-0.000E+00	-5.823E+07	-0.000E+00	-3.364E+06	-0.000E+00	-5.310E+06	-0.000E+00	 1.274E+08	-0.000E+00
    0.3700	-4.006E-08	-0.000E+00	-1.942E-07	 0.000E+00	-5.082E-08	 0.000E+00	-3.430E-01	 0.000E+00	-2.827E-03	 0.000E+00	-2.610E-01	 0.000E+00	-4.082E+06	-0.000E+00	-6.884E+06	-0.000E+00	-2.467E+08	-0.000E+00	-2.443E+06	-0.000E+00	-6.884E+06	-0.000E+00	-6.520E+07	-0.000E+00	-4.082E+06	-0.000E+00	-6.884E+06	-0.000E+00	 1.614E+08	-0.000E+00
